[2024-08-07T13:45:13Z INFO  rhoevm] Starting EVM symbolic execution...
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x5c, Opcode: JUMP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x69, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x6a, Opcode: PUSH1 Lit(0x40)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x6c, Opcode: MLOAD
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x6d, Opcode: PUSH2 Lit(0x58)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x70, Opcode: SWAP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x71, Opcode: PUSH2 Lit(0x12d)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x74, Opcode: JUMP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x14a, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x14b, Opcode: PUSH1 Lit(0xc2)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x14d, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x14e, Opcode: PUSH2 Lit(0x13a)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x151, Opcode: DUP4
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x152, Opcode: CODECOPY
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x153, Opcode: ADD
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x154, Opcode: SWAP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x155, Opcode: JUMP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x75, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x76, Opcode: PUSH1 Lit(0x40)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x78, Opcode: MLOAD
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x79, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7a, Opcode: SWAP2
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7b, Opcode: SUB
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7c, Opcode: SWAP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7d, Opcode: PUSH0
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] Create New Address: SymAddr(freshSymAddr 1)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7e, Opcode: CREATE
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x7f, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x80, Opcode: ISZERO
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x81, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x82, Opcode: ISZERO
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x83, Opcode: PUSH2 Lit(0x71)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x86, Opcode: JUMPI
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8e, Opcode: JUMPDEST
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x8f, Opcode: POP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x90, Opcode: PUSH0
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x91, Opcode: DUP1
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x92, Opcode: PUSH2 Lit(0x100)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x95, Opcode: EXP
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x96, Opcode: DUP2
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] access_storage slot=Lit(0x0), slot_conc=Lit(0x0)
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] access_storage @ addr=SymAddr(entrypoint)
[2024-08-07T13:45:13Z INFO  rhoevm::modules::evm] sload push y=Lit(0x0)
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x97, Opcode: SLOAD
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x98, Opcode: DUP2
[2024-08-07T13:45:13Z DEBUG rhoevm] PC: 0x99, Opcode: PUSH20 Lit(0xffffffffffffffffffffffffffffffffffffffff)
